nome,artista,idioma,letra
Dois Rios,Skank,Português,"Música: Dois Rios
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

O céu está no chão
O céu não cai do alto
É o claro, é a escuridão
O céu que toca o chão
E o céu que vai no alto
Dois lados deram as mãos
Como eu fiz também
Só pra poder conhecer
O que a voz da vida vem dizer
Que os braços sentem
E os olhos vêem
Que os lábios sejam
Dois rios inteiros
Sem direção
O sol é o pé e a mão
O sol é a mãe e o pai dissolve a escuridão
O sol se põe se vai
E após se por o sol renasce no Japão
Eu vi também
Só pra poder entender
Na voz da vida ouvi dizer
Que os braços sentem
E os olhos vêem
E os lábios beijam
Dois rios inteiros
Sem direção
E o meu lugar é esse ao lado seu no corpo inteiro
Dou meu lugar, pois o seu lugar é o meu amor primeiro
O dia e a noite
As quatro estações
O céu está no chão
O céu não cai do alto
É o claro é a escuridão
O céu que toca o chão
E o céu que vai no alto
Dois lados deram as mãos
Como eu fiz também
Só pra poder conhecer
O que a voz da vida vem dizer
Que os braços sentem
E os olhos vêem
Que os lábios beijam
Dois rios inteiros
Sem direção
E o meu lugar é esse ao lado seu no corpo inteiro
Dou meu lugar, pois o seu lugar é o meu amor primeiro
O dia e a noite
As quatro estações
Que os braços sentem
E os olhos vêem
E os lábios sejam
Dois rios inteiros
Sem direção
Que os braços sentem
E os olhos vêem
Que os lábios beijam
Dois rios inteiros
Sem direção"
Ainda Gosto Dela,Skank,Português,"Música: Ainda Gosto Dela
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Hoje acordei sem lembrar
Se vivi ou se sonhei
Você aqui neste lugar
Que eu ainda não deixei
Vou ficar
Quanto tempo vou esperar?
E eu não sei o que eu vou fazer, não

Nem precisei revelar
Sua foto não tirei
Como tirei pra dançar
Alguém que avistei
Tempo atrás
Este tempo está lá atrás
E eu não tenho mais o que fazer, não

E eu ainda gosto dela
Mas ela já não gosta tanto assim
A porta ainda está aberta
Mas da janela já não entra luz
E eu ainda penso nela
Mas ela já não pensa mais em mim, em mim, não

Ainda vejo o luar
Refletido na areia
Aqui na frente deste mar
Sua boca eu beijei
Vou ficar
Só com ela eu quis, quis ficar
E agora ela me deixou

E eu ainda gosto dela
Mas ela já não gosta tanto assim
A porta ainda está aberta
Mas da janela já não entra luz
E eu ainda penso nela
Mas ela já não pensa mais em mim
Eu vou deixar a porta aberta
Pra que ela entre e traga a sua luz

Hoje acordei sem lembrar
Se vivi ou se sonhei
Você aqui neste lugar
Que eu ainda não deixei
Vou ficar
Quanto tempo vou esperar?
E eu não sei o que eu vou fazer, não

E eu ainda gosto dela
Mas ela já não pensa mais em mim
A porta ainda está aberta
Mas da janela já não entra luz
E eu ainda penso nela
Mas, ela já não pensa mais em mim
Eu vou deixar a porta aberta
Pra que ela entre e traga a sua luz
E eu ainda gosto dela
Mas ela já não pensa mais em mim
A porta ainda está aberta
Mas da janela já não entra luz
E eu ainda penso nela
Mas, ela já não pensa mais em mim
Eu vou deixar a porta aberta
Pra que ela entre e traga a sua luz

Traga a sua luz
Baby, iê, iê
Ainda gosto dela"
Pacato Cidadão,Skank,Português,"Música: Pacato Cidadão
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Ô pacato cidadão
Te chamei a atenção
Não foi a toa não
C'est fini la utopia
Mas a guerra todo dia
Dia a dia não
E tracei a vida inteira planos tão incríveis
Tramo a luz do sol
Apoiado em poesia e em tecnologia
Agora a luz do sol
Pacato cidadão
O pacato da civilização
Pacato cidadão
O pacato da civilização
Ô pacato cidadão
Te chamei a atenção
Não foi a toa não
C'est fini la utopia
Mas a guerra todo dia
Dia a dia não
E tracei a vida inteira planos tão incríveis
Tramo a luz do sol
Apoiado em poesia e em tecnologia
Agora a luz do sol
Pra que tanta tevê
Tanto tempo pra perder
Qualquer coisa que se queira
Saber querer
Tudo bem dissipação
De vez em quando é bão
Misturar o brasileiro
Com o Alemão
Pacato cidadão
O pacato da civilização
Ô pacato cidadão
Te chamei a atenção
Não foi a toa não
C'est fini la utopia
Mas a guerra todo dia
Dia a dia não
E tracei a vida inteira planos tão incríveis
Tramo a luz do sol, a luz do sol
Apoiado em poesia e em tecnologia
Agora a luz do sol
Pra que tanta sujeira
Nas ruas e nos rios
Qualquer coisa que se suje
Tem que limpar
Se você não gosta dele
Diga logo a verdade
Sem perder a cabeça
Sem perder a amizade
Pacato cidadão
O pacato da civilização
Pacato cidadão
O pacato da civilização
Ô pacato cidadão
Te chamei a atenção
Não foi a toa não
C'est fini la utopia
Mas a guerra todo dia
Dia a dia não
E tracei a vida inteira planos tão incríveis
Tramo a luz do sol, a luz do sol
Apoiado em poesia e em tecnologia
Agora a luz do sol
Consertar o rádio e o casamento
Corre a felicidade no asfalto cinzento
Se abolir a escravidão do caboclo brasileiro
Numa mão educação
Na outra dinheiro
Pacato cidadão
O pacato da civilização
Someone's knockin' on the door
Somebody's ringing the bell
Someone's knockin' on the door
Somebody's ringing the bell
Do me a favor, open the door
And let 'em in, and let 'em in
O pacato da civilização"
É Uma Partida de Futebol,Skank,Português,"Música: É Uma Partida de Futebol
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Letra de ""É uma Partida de Futebol"" por Skank

Bola na trave não altera o placar
Bola na área sem ninguém pra cabecear
Bola na rede pra fazer um gol
Quem não sonhou
Em ser um jogador de futebol?
A bandeira no estádio é um estandarte
A flâmula pendurada na parede do quarto
O distintivo na camisa do uniforme
Que coisa linda
É uma partida de futebol
Posso morrer pelo meu time
Se ele perder, que dor, imenso crime
Posso chorar se ele não ganhar
Mas se ele ganha, não adianta
Não há garganta que não pare de berrar
A chuteira veste o pé descalço
O tapete da realeza é verde
Olhando para a bola eu vejo o sol
Está rolando agora
É uma partida de futebol
O meio-campo é o lugar dos craques
Que vão levando o time todo pro ataque
O centroavante, o mais importante
Que emocionante
É uma partida de futebol
O meu goleiro é um homem de elástico
Os dois zagueiros têm a chave do cadeado
Os laterais fecham a defesa
Mas que beleza
É uma partida de futebol"
Saideira,Skank,Português,"Música: Saideira
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Tem um lugar diferente
Lá depois da saideira
Quem é de beijo, beija
Quem é de luta, capoeira
Tem um lugar diferente
Lá depois da saideira
Tem homem que vira macaco
E mulher que vira freira
Comandante, Capitão, Tio, Brother, Camarada!
Chefia, Amigão, desce mais uma rodada!
Comandante, Capitão, Tio, Brother, Camarada!
Chefia, Amigão, desce mais uma rodada!
Desce mais!
Desce mais!
Tem um lugar diferente
Lá depois da saideira
Tem bandeira que recolhe
Tem bandeira que hasteia
Tem um lugar diferente
Lá depois da saideira
É Tomando uma gelada
Que se cura bebedeira
Comandante, Capitão, Tio, Brother, Camarada!
Chefia, Amigão, desce mais uma rodada!
Comandante, Capitão, Tio, Brother, Camarada!
Chefia, Amigão, desce mais uma rodada!
Tem um lugar diferente
Lá depois da saideira
Quem é de beijo, beija
Quem é de luta, capoeira
Tem um lugar diferente
Lá depois da saideira
Tem homem que vira macaco
E mulher que vira freira
Comandante, Capitão, Tio, Brother, Camarada!
Chefia, Amigão, desce mais uma rodada!
Comandante, Capitão, Tio, Brother, Camarada!
Chefia, Amigão, desce mais uma rodada!
Desce mais!
Desce mais!
Comandante, Capitão, Tio, Brother, Camarada!
Chefia, Amigão, desce mais uma rodada!
Comandante, Capitão, Tio, Brother, Camarada!
Chefia, Amigão, desce mais uma rodada!"
Tanto,Skank,Português,"Música: Tanto
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Coveiros gemem tristes ais
E realejos ancestrais
Juram que eu não devia mais querer você
Os sinos e os clarins rachados
Zombando tão desafinados
Querem, eu sei, mas é pecado
Eu te perder
É tanto, é tanto
Se ao menos você soubesse
Te quero tanto
Políticos embriagados
Dançando em guetos arruinados
E os profetas desacordados a te ouvir
Eu sei que eles vem tomar
Meu drinque em meu copo a trincar
E me pedir pra te deixar partir
É tanto, é tanto
Se ao menos você soubesse
Te quero tanto
Todos meus pais querem me dar
Amor que há tempos não está lá
E suas filhas vão me deixar
Por isso não me preocupar
Eu voltei pra minha sina
Contei pra uma menina
Meu medo só termina estando ali
Ela é suave assim
E sabe quase tudo de mim
Ela sabe onde eu queria estar enfim
É tanto, é tanto
Se ao menos você soubesse
Te quero tanto
Mas seu dândi vai de paletó chinês
Falou comigo mais de uma vez
Não, eu sei, não fui muito cortês com ele, não
Isso, porque ele mentiu
Porque te ganhou e partiu
Porque o tempo consentiu
Ou se não porque
É tanto, é tanto
Se ao menos você soubesse
Te quero tanto
É tanto
Se ao menos você soubesse
Te quero tanto"
Balada do Amor Inabalável,Skank,Português,"Música: Balada do Amor Inabalável
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Leva essa canção
De amor dançante
Pra você lembrar de mim
Seu coração lembrar de mim
Na confusão do dia-a-dia
No sufoco de uma dúvida
Na dor de qualquer coisa
É só tocar essa balada
De swing inabalável
Que é oásis pro amor
Eu vou dizendo
Na sequência bem clichê
Eu preciso de você
É força antiga do espírito
Virando convivência
De amizade apaixonada
Sonho, sexo, paixão
Vontade gêmea de ficar
E não pensar em nada
Planejando
Pra fazer acontecer
Ou simplesmente
Refinando essa amizade
Eu vou dizendo
Na sequência bem clichê
Eu preciso de você
Mesmo que a gente se separe
Por uns tempos ou quando
Você quiser lembrar de mim
Toque a balada
Do amor inabalável
Swing de amor nesse planeta
Mesmo que a gente se separe
Por uns tempos ou quando
Você quiser lembrar de mim
Toque a balada
Seja antes ou depois
Eterna Love Song de nós dois
Leva essa canção
De amor dançante
Pra você lembrar de mim
Seu coração lembrar de mim
Na confusão do dia-a-dia
No sufoco de uma dúvida
Na dor de qualquer coisa"
Te Ver,Skank,Português,"Música: Te Ver
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível
Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível
É como mergulhar num rio e não se molhar
É como não morrer de frio no gelo polar
É ter o estômago vazio e não almoçar
É ver o céu se abrir no estio e não se animar
Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível
É como esperar o prato e não salivar
Sentir apertar o sapato e não descalçar
É ver alguém feliz de fato sem alguém pra amar
É como procurar no mato estrela do mar
Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível
É como não sentir calor em Cuiabá
Ou como ir ao Arpoador não ver o mar
É como não morrer de raiva com a política
Ignorar que a tarde vai vadia e mítica
É como ver televisão e não dormir
Ver um bichano pelo chão e não sorrir
É como não provar o néctar de um lindo amor
Depois que o coração detecta a mais fina flor
Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível
Te ver e não te querer
É improvável, é impossível
Te ter e ter que esquecer
É insuportável, é dor incrível"
Três Lados,Skank,Português,"Música: Três Lados
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Escutei alguém abrir os portões
Encontrei no coração multidões
Meu desejo e meu destino brigaram como irmãos
E a manhã semeará outros grãos
Você estava longe, então
Por que voltou
Com olhos de verão
Que não vão entender?
E quanto a mim, te quero sim
Vem dizer que você não sabe
E quanto a mim, não é o fim
Nem há razão pra que um dia acabe
Cada um terá razões ou arpões
Dediquei-me às suas contradições, fissões, confusões
Meu desejo, seu bom senso, raivosos feito cães
E a manhã nos proverá outros pães
Os deuses vendem quando dão
Melhor saber
Seus olhos de verão
Que não vão nem lembrar
E quanto a mim, te quero, sim
Vem dizer que você não sabe
E quanto a mim, não é o fim
Nem há razão pra que um dia acabe
Somos dois contra a parede e tudo tem três lados
E a noite arremessará outros dados
Os deuses vendem quando dão
Melhor saber
Seus olhos de verão
Que não vão nem lembrar
E quanto a mim, te quero, sim
Vem dizer que você não sabe
E quanto a mim, não é o fim
Nem há razão pra que um dia acabe"
Esmola,Skank,Português,"Música: Esmola
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Uma esmola pelo amor de Deus
Uma esmola, meu, por caridade
Uma esmola pro ceguinho, pro menino
Em toda esquina tem gente só pedindo
Uma esmola pro desempregado
Uma esmolinha pro preto pobre doente
Uma esmola pro que resta do Brasil
Pro mendigo, pro indigente
Ele que pede, eu que dou, ele só pede
O ano e mil novecentos e noventa e tal
Eu tô cansado de dar esmola
Qualquer lugar que eu passe é isso agora
Essa quota miserável da avareza
Se o país não for pra cada um
Pode estar certo
Não vai ser pra nenhum
Não vai não, não vai não, não vai não
No hospital, no restaurante
No sinal, no Morumbi
No Mário Filho, no Mineirão
Menino me vê começa logo a pedir
Me dá, me dá, me dá um dinheiro aí!"
Jackie Tequila,Skank,Português,"Música: Jackie Tequila
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Funk lá no Morro da Mangueira
Essa menina tá dizendo, sim eu sei
Noite bamba, tudo à beça
Bailão na Rampa do Cruzeiro
Essa menina tá dizendo don't worry
Cause everything is gonna be alright
Everything, every tune will be played by night
Uh, yeah, oh-oh
Seu nome é Jackie, Jackie, oh-oh
Tequila
Oh, Jaqueline Misty, yeah-oh
Tequila
Reggae lá na Rádio do Café
Rapaziada que estiver afim, vai lá
Eu vou ficar com Jackie, oh
Se é que Jackie vai pra lá
E se não for, já foi
O bonde do desejo segue rumo
Caixa, bumbo e sexo
Saudade na rampa do mundo, oh
Seu nome é Jackie, Jackie
Tequila
Seu nome é Jaqueline Misty, yeah-oh
Tequila
Oh, Jackie foi nascer numa cabana em Noa Noa
Sol do Taiti na pele, nowboah
Seu pai cruzou o mar, duas filhas na canoa
Coco pra beber e leite de leoa
Jackie é uma menina tão bonita que enjoa
Enjoo de vertigem, viagem de avião
Hálito de virgem, dois olhos de amêndoa
Vaca, cadela, macaca, gazela
Linda toda, toda linda ela
Toda beleza se reconhece nela
Jackie Tequila, Coca-Cola e água
Égua, língua, míngua, minha mágoa
Eu disse funk lá no Morro da Mangueira
Essa menina tá dizendo, sim eu sei
Noite bamba, tudo à beça
Bailão na Rampa do Cruzeiro
Essa menina tá dizendo don't worry
Cause everything is gonna be alright
Everything, every tune will be played by night
Uh, yeah, oh-oh
Seu nome é Jackie, Jackie
Tequila
Oh, Jaqueline Misty, yeah-oh
Tequila
Oh, Jackie foi nascer numa cabana em Noa Noa
Sol do Taiti na pele, nowboah
Seu pai cruzou o mar, duas filhas na canoa
Coco pra beber e leite de leoa
(fade out)
Jackie é uma menina tão bonita que enjoa
Enjoa de vertigem, viagem de avião
Hálito de virgem, dois olhos de amêndoa
Vaca, cadela, macaca, gazela..."
Algo Parecido,Skank,Português,"Música: Algo Parecido
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Escorre o tempo que seguro e cabe em minhas mãos
Eu empresto o meu mundo pra te ter então
Você vai acreditar talvez
Ou se não queira partir de vez

E se eu falasse nessas coisas que vejo em você
Me atravessam num segundo sem eu entender
E tudo que me faz ver
E tudo que me faz ter

Aquilo que eu sinto por você parece ser maior
Que o destino que me passa e te passa e há de ser um só
A gente é diferente quando sente
Mas pode ser que mesmo assim
A gente até se ajeite

Você bem que podia vir comigo
Para além do final dessa rua
Pro outro lado da cidade
Ou algo parecido

Estou livre com seu passo e aperto sua mão
Que me mostra o caminho pra te ter então
Com você quero partir de vez
Sem destino e sem lugar talvez

Despreocupo com o futuro que ninguém prevê
O que entristece tento esquecer
Isso tanto faz
Isso já não faz mal

Aquilo que eu sinto por você parece ser maior
E o destino que me passa e te passa e há de ser um só
A gente é diferente quando sente
Mas pode ser que mesmo assim
A gente até se ajeite

Você bem que podia vir comigo
Para além do final dessa rua
Pro outro lado da cidade
Ou algo parecido
Você bem que podia vir comigo
Para além do final dessa rua
Pro outro lado da cidade
A gente é parecido

Você bem que podia vir comigo
Para além do final dessa rua
Pro outro lado da cidade
Ou algo parecido
Você bem que podia vir comigo
Para além do final dessa rua
Pro outro lado da cidade
A gente é parecido
Você bem que podia vir comigo
Para além do final dessa rua
Pro outro lado da cidade
Ou algo parecido..."
Ali,Skank,Português,"Música: Ali
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Ela entrou e eu estava ali
Ou será que fui eu que ali entrei
Sem sequer pedir
A menor licença?
Ela de batom caqui
Com os olhos olhava o que? Eu não sei
Olhos de águas vindas
De outros oceanos
Ela me olhou - Quem?
Quem sabe com ela eu teria as tardes
Que sempre me passaram
Como imagens, como invenção!
Se eu não posso ter
Fico imaginando
Virá com ela que entrega
Virá, sim, assim virá que eu vi
Virá ou ela me espera
Virá, pois ela estava ali
Ela amou o que estava ali
Ou será que foi dela o que eu já amei
Como os laços fixam
Uma residência?
Ela: Alô!? E eu não reagi
Com os olhos olhava o que eu lembrei
Quando andava indo
Em outra direção
Ela me olhou - Vem!
Quem sabe com ela
Eu veria as tardes
Que sempre me faltaram
Como miragens, como ilusão!
Se eu não posso ver
Fico imaginando
Virá com ela que entrega
Virá, sim, assim virá que eu vi
Virá ou ela me espera
Virá, pois ela estava ali
Ela andou e eu fiquei ali
Ou será que fui eu que dali mudei
Com uns passos mudos
De uma reticência?
Ela me olhou bem
Quem sabe com ela eu teria achado
O que sempre me faltava
Cores, colagens, sons, emoção!
Se eu não posso ser
Fico imaginando
Virá com ela que entrega
Virá, sim, assim virá que eu vi
Virá ou ela me espera
Virá, pois ela estava ali"
Canção Noturna,Skank,Português,"Música: Canção Noturna
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Misterioso luar de fronteira
Derramando no espinhaço quase um mar
Clareando a aduana
Venezuela, donde estás?
Não sei por que nessas lagunas vejo o seu olhar
Minha camisa estampada com o rosto de Elvis
A minha guitarra é minha razão
Minha sorte anunciada
Misteriosamente a lua sobre nada
Não sei por que nessas lacunas vejo seu olhar
Não sei por que nessas lacunas vejo seu olhar
Espalhe por aí boatos de que eu ficarei aqui
Espalhe por aí boatos de que eu ficarei aqui
Vem, mamacita, doida e meiga
Sempre o âmago dos fatos
Minha guerra e as flores do cactos
Poema, cinema, trincheira
Não sei por que nessas lagunas vejo o seu olhar
Um cego na fronteira, filósofo da zona
Me disse que era um dervixe
Eu disse pra ele, camarada
Acredito em tanta coisa que não vale nada
Não sei por que nessas lacunas vejo seu olhar
Não sei por que nessas lacunas vejo seu olhar
Espalhe por aí boatos de que eu ficarei aqui
Espalhe por aí boatos de que eu ficarei aqui
Não sei por que nessas escunas vejo seu olhar
Não sei por que nessas escunas vejo seu olhar
Velejando, viajando, sol quarando
Meu querer, meu dever, meu devir
E eu aqui a comer poeira
Que o sol deixará
Não sei por que nessas esquinas vejo seu olhar
Não sei por que nessas esquinas vejo seu olhar"
Mil Acasos,Skank,Português,"Música: Mil Acasos
Artista: Skank
Fonte: Genius.com
--------------------------------------------------

Mil acasos me levam a você
O sábado, o signo, o carnaval
Mil acasos me tomam pela mão
A feira, o feriado nacional
Mil acasos me levam a perder
O senso, o ritmo habitual

Mil acasos me levam a você
No início, no meio ou no final
Me levam a você de um jeito desigual

Mil acasos apontam a direção
Desvios de rota é tão normal
Mil acasos me levam a você
No mundo concreto ou virtual
Me levam a você de um jeito desigual

Quem sabe, então, por um acaso
Perdido no tempo ou no espaço
Seus passos queiram se juntar aos meus
Seus braços queiram se juntar aos meus

Mil acasos me levam a você
No início no meio ou no final

Mil acasos me levam por aí
Na espuma do tempo, no temporal
Mil acasos me dizem o que sou
Ateu praticante, ocidental
Me levam a você de um jeito desigual

Quem sabe, então, por um acaso
Perdido no tempo ou no espaço
Seus passos queiram se juntar aos meus
Seus braços queiram se juntar aos meus"
